Country Name,Country Code,year,Value,Metric
Australia,AUS,2015,83.93283269999999,Government Effectiveness
Australia,AUS,2015,79.61514439999999,Political Stability
Australia,AUS,2015,86.52900009999999,Rule of Law
Australia,AUS,2015,84.05763739999999,Voice and Accountability
China,CHN,2015,61.716004,Government Effectiveness
China,CHN,2015,56.563683499999996,Political Stability
China,CHN,2015,45.569834199999995,Rule of Law
China,CHN,2015,32.4786757,Voice and Accountability
Japan,JPN,2015,84.5129644,Government Effectiveness
Japan,JPN,2015,86.7789985,Political Stability
Japan,JPN,2015,81.67962969999999,Rule of Law
Japan,JPN,2015,77.439983,Voice and Accountability
India,IND,2015,59.056804799999995,Government Effectiveness
India,IND,2015,52.8796025,Political Stability
India,IND,2015,54.5995656,Rule of Law
India,IND,2015,62.0542118,Voice and Accountability
Russian Federation,RUS,2015,45.0710518,Government Effectiveness
Russian Federation,RUS,2015,52.389871299999996,Political Stability
Russian Federation,RUS,2015,41.3230363,Rule of Law
Russian Federation,RUS,2015,42.6871599,Voice and Accountability
United Kingdom,GBR,2015,83.1560518,Government Effectiveness
United Kingdom,GBR,2015,75.0691258,Political Stability
United Kingdom,GBR,2015,85.5496474,Rule of Law
United Kingdom,GBR,2015,82.45158099999999,Voice and Accountability
United States,USA,2015,81.921098,Government Effectiveness
United States,USA,2015,77.2686791,Political Stability
United States,USA,2015,80.6641363,Rule of Law
United States,USA,2015,79.4057418,Voice and Accountability
United Arab Emirates,ARE,2015,78.6403765,Government Effectiveness
United Arab Emirates,ARE,2015,80.2130602,Political Stability
United Arab Emirates,ARE,2015,63.0056242,Rule of Law
United Arab Emirates,ARE,2015,45.0842203,Voice and Accountability
Afghanistan,AFG,2015,22.7349885,Government Effectiveness
Afghanistan,AFG,2015,23.510621099999998,Political Stability
Afghanistan,AFG,2015,28.6914007,Rule of Law
Afghanistan,AFG,2015,35.6729412,Voice and Accountability
Germany,DEU,2015,89.4963851,Government Effectiveness
Germany,DEU,2015,80.0916647,Political Stability
Germany,DEU,2015,86.90913119999999,Rule of Law
Germany,DEU,2015,84.70839219999999,Voice and Accountability
New Zealand,NZL,2015,89.258822,Government Effectiveness
New Zealand,NZL,2015,90.9379445,Political Stability
New Zealand,NZL,2015,88.9144707,Rule of Law
New Zealand,NZL,2015,88.153218,Voice and Accountability
Philippines,PHL,2015,59.274046999999996,Government Effectiveness
Philippines,PHL,2015,50.0628483,Political Stability
Philippines,PHL,2015,49.564749899999995,Rule of Law
Philippines,PHL,2015,57.3640821,Voice and Accountability
South Africa,ZAF,2015,56.0942459,Government Effectiveness
South Africa,ZAF,2015,60.5909646,Political Stability
South Africa,ZAF,2015,57.7229004,Rule of Law
South Africa,ZAF,2015,67.18763059999999,Voice and Accountability
Ukraine,UKR,2015,40.5690047,Government Effectiveness
Ukraine,UKR,2015,35.0374627,Political Stability
Ukraine,UKR,2015,44.9183282,Rule of Law
Ukraine,UKR,2015,54.0960821,Voice and Accountability
Australia,AUS,2016,82.934005,Government Effectiveness
Australia,AUS,2016,82.19158089999999,Political Stability
Australia,AUS,2016,86.7190682,Rule of Law
Australia,AUS,2016,84.6444258,Voice and Accountability
China,CHN,2016,61.9022563,Government Effectiveness
China,CHN,2016,57.328964799999994,Political Stability
China,CHN,2016,46.273893099999995,Rule of Law
China,CHN,2016,32.5243345,Voice and Accountability
Japan,JPN,2016,86.6068501,Government Effectiveness
Japan,JPN,2016,85.0237906,Political Stability
